书名,作者,作者国别,出版时间,出版社,价格,评分,评价人数,封面URL,封面路径
汉末之变：曹操发迹与董卓之死,刘三解,中国,2025-3,天地出版社,88,7.4,96,https://img3.doubanio.com/view/subject/s/public/s35120377.jpg,covers/s35120377.jpg
深入野性蒙古,乔治·夏勒,美,2025-4,生活·读书·新知三联书店,59.00元,9.1,15,https://img3.doubanio.com/view/subject/s/public/s35109902.jpg,covers/s35109902.jpg
中国的西北角：勘注增补本,范长江 著 / 范东升 编,中国 / 中国,2025-4,北京出版社,198.00元,0.0,11,https://img3.doubanio.com/view/subject/s/public/s35006943.jpg,covers/s35006943.jpg
孤独的夹心是糖做的,法6,中国,2025-4-18,湖南文艺出版社,59.80元,8.7,34,https://img9.doubanio.com/view/subject/s/public/s35120174.jpg,covers/s35120174.jpg
恶女书架,铃木凉美,日,2025-3,广西师范大学出版社,62.00,8.3,120,https://img3.doubanio.com/view/subject/s/public/s35115353.jpg,covers/s35115353.jpg
两汉承续与新汉本位：东汉前期政治文化实践研究,王尔,中国,2025-3-1,中国社会科学出版社,158元,0.0,11,https://img9.doubanio.com/view/subject/s/public/s35127275.jpg,covers/s35127275.jpg
秘密缪斯,劳蕾塔·科隆内利,意,2025-3,北京联合出版公司,138.00元,9.3,34,https://img1.doubanio.com/view/subject/s/public/s35044700.jpg,covers/s35044700.jpg
社会学看中国：中国社会学通识课,渠敬东 / 周飞舟 / 王铭铭 / 田耕 / 陈波 / 徐勇 / 刘世定 / 吴小英 / 王宁 / 王天夫,中国 / 中国 / 中国 / 中国 / 中国 / 中国 / 中国 / 中国 / 中国 / 中国,2025-3,生活·读书·新知三联书店,79.00元,8.3,19,https://img9.doubanio.com/view/subject/s/public/s35095204.jpg,covers/s35095204.jpg
夏娃：关于生育自由的未来,克莱尔·霍恩（Claire Horn）,加,2025-3-31,上海译文出版社,45元,0.0,9,https://img2.doubanio.com/view/subject/s/public/s35107321.jpg,covers/s35107321.jpg
黑夜突如其来：理解自杀,凯·雷德菲尔德·杰米森,美,2025-4,上海译文出版社,68,0.0,3,https://img3.doubanio.com/view/subject/s/public/s35107332.jpg,covers/s35107332.jpg
谛听这个世界：洛尔迦访谈录,费德里科·加西亚·洛尔迦,西,2025-4,中信出版集团,55,8.3,16,https://img9.doubanio.com/view/subject/s/public/s35100805.jpg,covers/s35100805.jpg
改变艺术的31种凝视,威尔·贡培兹,英,2025-4,北京日报出版社,88.00元,0.0,6,https://img3.doubanio.com/view/subject/s/public/s35131413.jpg,covers/s35131413.jpg
舆论,沃尔特·李普曼,美,2025-4,广西师范大学出版社,58.00元,9.5,24,https://img1.doubanio.com/view/subject/s/public/s35120220.jpg,covers/s35120220.jpg
文本视野下的诗经学,虞万里,中国,2025-3,东方出版中心,99.80元,0.0,4,https://img9.doubanio.com/view/subject/s/public/s35120506.jpg,covers/s35120506.jpg
我也只是一个人,特雷齐娅·莫拉,匈,2025-5,广西师范大学出版社,68.00,0.0,4,https://img3.doubanio.com/view/subject/s/public/s35128377.jpg,covers/s35128377.jpg
打风,程皎旸,中国,2025-4,作家出版社,68.00元,9.2,54,https://img1.doubanio.com/view/subject/s/public/s35103719.jpg,covers/s35103719.jpg
也是读书：葛剑雄文集第9卷,葛剑雄,中国,2025-3,广东人民出版社,118元,9.3,16,https://img3.doubanio.com/view/subject/s/public/s35110093.jpg,covers/s35110093.jpg
狐仙崇拜：中国封建王朝晚期的民间信仰与民众心理,康笑菲,加,2025-3-30,海南出版社,49.9,7.6,137,https://img1.doubanio.com/view/subject/s/public/s35115260.jpg,covers/s35115260.jpg
同治中兴：中国保守主义的最后抵抗：1862—1874,芮玛丽,美,2025-3,重庆出版社,98.00元,0.0,22,https://img2.doubanio.com/view/subject/s/public/s35110111.jpg,covers/s35110111.jpg
如何成为一只猫,孙冬著 / 朱蕊绘,中国 / 中国,2025-4-10,南京大学出版社,88.00元,9.3,22,https://img3.doubanio.com/view/subject/s/public/s35135602.jpg,covers/s35135602.jpg
冷战的故事,王缉思,中国,2025-4,云南人民出版社,168.00元,8.9,60,https://img3.doubanio.com/view/subject/s/public/s35108767.jpg,covers/s35108767.jpg
